iter,  hab_typ, irow, jcol, L.C.size , L.C.edge , L.C.fract, L.C._rms , TTL clstr, TTL edgs , Sav size , S_Freq   , Cor_len  , Perc     
   1,   1, 128, 128, 6967.00    , 7334.00    , 1.82376    , 44.9684    , 128.000    , 9378.00    , 6614.56    , 7339.00    , 44.9660    , 1.00000    
   2,   1, 128, 128, 4837.00    , 5154.00    , 1.86738    , 33.8226    , 153.000    , 10624.0    , 3550.10    , 7428.00    , 32.5657    , 0.00000    
   3,   1, 128, 128, 6589.00    , 3596.00    , 1.89525    , 34.9506    , 106.000    , 5808.00    , 5918.79    , 7371.00    , 34.8740    , 0.00000    
   4,   1, 128, 128, 6268.00    , 7962.00    , 1.81082    , 43.5152    , 167.000    , 11878.0    , 5346.88    , 7379.00    , 43.4268    , 1.00000    
   5,   1, 128, 128, 6496.00    , 7826.00    , 1.83213    , 43.7887    , 148.000    , 11462.0    , 5736.90    , 7367.00    , 43.7554    , 0.00000    
   6,   1, 128, 128, 5026.00    , 5146.00    , 1.82749    , 41.5370    , 159.000    , 12030.0    , 3525.80    , 7321.00    , 41.1239    , 1.00000    
   7,   1, 128, 128, 5526.00    , 4788.00    , 1.80310    , 48.2186    , 160.000    , 10040.0    , 4214.96    , 7368.00    , 47.8402    , 0.00000    
   8,   1, 128, 128, 6178.00    , 6528.00    , 1.84299    , 44.2482    , 167.000    , 11092.0    , 5220.20    , 7332.00    , 44.1893    , 1.00000    
   9,   1, 128, 128, 5872.00    , 5350.00    , 1.87237    , 37.7371    , 129.000    , 9412.00    , 4744.77    , 7447.00    , 37.3684    , 1.00000    
  10,   1, 128, 128, 4021.00    , 5312.00    , 1.81829    , 33.9006    , 168.000    , 13558.0    , 2546.94    , 7335.00    , 32.3166    , 0.00000    
